year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
1997,Bishan-Toa Payoh,GRC,5,Wong Kan Seng,PAP,People's Action Party,0,,1,won_uncontested
1997,Boon Lay,SMC,1,Goh Chee Wee,PAP,People's Action Party,12407,66.1,1,won
1997,Boon Lay,SMC,1,Christopher Neo Ting Wei,NSP,National Solidarity Party,6362,33.9,2,lost
1997,Bukit Gombak,SMC,1,Ang Mong Seng,PAP,People's Action Party,15229,65.14,1,won
1997,Bukit Gombak,SMC,1,Ling How Doong,SDP,Singapore Democratic Party,6643,28.42,2,lost
1997,Bukit Gombak,SMC,1,Syed Farid Wajidi,SPP,Singapore People's Party,1506,6.44,3,lost_deposit
1997,Bukit Timah,GRC,5,Foo Yee Shoon,PAP,People's Action Party,0,,1,won_uncontested
1997,Bukit Timah,GRC,5,Lim Boon Heng,PAP,People's Action Party,0,,1,won_uncontested
1997,Bukit Timah,GRC,5,Ong Chit Chung,PAP,People's Action Party,0,,1,won_uncontested
1997,Bukit Timah,GRC,5,R. Ravindran,PAP,People's Action Party,0,,1,won_uncontested
1997,Bukit Timah,GRC,5,Wang Kai Yuen,PAP,People's Action Party,0,,1,won_uncontested
1997,Cheng San,GRC,5,Heng Chiang Meng,PAP,People's Action Party,53553,54.82,1,won
1997,Cheng San,GRC,5,Lee Yock Suan,PAP,People's Action Party,53553,54.82,1,won
1997,Cheng San,GRC,5,Michael Lim Chun Leng,PAP,People's Action Party,53553,54.82,1,won
1997,Cheng San,GRC,5,Yeo Guat Kwang,PAP,People's Action Party,53553,54.82,1,won
1997,Cheng San,GRC,5,Zainul Abidin Rasheed,PAP,People's Action Party,53553,54.82,1,won
1997,Cheng San,GRC,5,Abdul Rahim Bin Osman,WP,Workers' Party,44132,45.18,2,lost
1997,Cheng San,GRC,5,Huang Seow Kwang,WP,Workers' Party,44132,45.18,2,lost
1997,Cheng San,GRC,5,J B Jeyaretnam,WP,Workers' Party,44132,45.18,2,lost
1997,Cheng San,GRC,5,Tan Bin Seng,WP,Workers' Party,44132,45.18,2,lost
1997,Cheng San,GRC,5,Tang Liang Hong,WP,Workers' Party,44132,45.18,2,lost
1997,Chua Chu Kang,SMC,1,Low Seow Chay,PAP,People's Action Party,14141,61.92,1,won
1997,Chua Chu Kang,SMC,1,Yip Yew Weng,NSP,National Solidarity Party,5040,22.07,2,lost
1997,Chua Chu Kang,SMC,1,Chia Shi Teck,Independent,,3210,14.06,3,lost
1997,Chua Chu Kang,SMC,1,Tan Soo Phuan,DPP,Democratic Progressive Party,445,1.95,4,lost_deposit
1997,East Coast,GRC,6,Abdullah Tarmugi,PAP,People's Action Party,0,,1,won_uncontested
1997,East Coast,GRC,6,Chan Soo Sen,PAP,People's Action Party,0,,1,won_uncontested
1997,East Coast,GRC,6,Chew Heng Ching,PAP,People's Action Party,0,,1,won_uncontested
1997,East Coast,GRC,6,Chng Hee Kok,PAP,People's Action Party,0,,1,won_uncontested
1997,East Coast,GRC,6,S Jayakumar,PAP,People's Action Party,0,,1,won_uncontested
1997,East Coast,GRC,6,Tan Soo Khoon,PAP,People's Action Party,0,,1,won_uncontested
1997,Hong Kah,GRC,5,John Chen,PAP,People's Action Party,82182,69.0,1,won
1997,Hong Kah,GRC,5,Kenneth Chen Koon Lap,PAP,People's Action Party,82182,69.0,1,won
1997,Hong Kah,GRC,5,Peter Chen Min Liang,PAP,People's Action Party,82182,69.0,1,won
1997,Hong Kah,GRC,5,Harun Abdul Ghani,PAP,People's Action Party,82182,69.0,1,won
1997,Hong Kah,GRC,5,Yeo Cheow Tong,PAP,People's Action Party,82182,69.0,1,won
1997,Hong Kah,GRC,5,Steve Chia Kiah Hong,NSP,National Solidarity Party,36920,31.0,2,lost
1997,Hong Kah,GRC,5,Kee Chin Wah Patrick,NSP,National Solidarity Party,36920,31.0,2,lost
1997,Hong Kah,GRC,5,Tan Chee Kien,NSP,National Solidarity Party,36920,31.0,2,lost
1997,Hong Kah,GRC,5,Wong Wee Nam,NSP,National Solidarity Party,36920,31.0,2,lost
1997,Hong Kah,GRC,5,Yadzeth Bin Hairis,NSP,National Solidarity Party,36920,31.0,2,lost
1997,Hougang,SMC,1,Low Thia Khiang,WP,Workers' Party,13458,58.02,1,won
1997,Hougang,SMC,1,Heng Chee How,PAP,People's Action Party,9736,41.98,2,lost
1997,Jalan Besar,GRC,4,Choo Wee Khiang,PAP,People's Action Party,44840,67.55,1,won
1997,Jalan Besar,GRC,4,Lee Boon Yang,PAP,People's Action Party,44840,67.55,1,won
1997,Jalan Besar,GRC,4,Peh Chin Hua,PAP,People's Action Party,44840,67.55,1,won
1997,Jalan Besar,GRC,4,Yaacob Ibrahim,PAP,People's Action Party,44840,67.55,1,won
1997,Jalan Besar,GRC,4,David Chew,SDP,Singapore Democratic Party,21537,32.45,2,lost
1997,Jalan Besar,GRC,4,Gandhi Ambalam,SDP,Singapore Democratic Party,21537,32.45,2,lost
1997,Jalan Besar,GRC,4,Jufrie Mahmood,SDP,Singapore Democratic Party,21537,32.45,2,lost
1997,Jalan Besar,GRC,4,Low Yong Nguan,SDP,Singapore Democratic Party,21537,32.45,2,lost
1997,Kampong Glam,SMC,1,Loh Meng See,PAP,People's Action Party,13446,74.52,1,won
1997,Kampong Glam,SMC,1,Tan Lead Shake,DPP,Democratic Progressive Party,4598,25.48,2,lost
1997,Kreta Ayer - Tanglin,GRC,4,Hu Tsu Tau,PAP,People's Action Party,0,,1,won_uncontested
1997,Kreta Ayer - Tanglin,GRC,4,Lew Syn Pau,PAP,People's Action Party,0,,1,won_uncontested
1997,Kreta Ayer - Tanglin,GRC,4,Lily Neo,PAP,People's Action Party,0,,1,won_uncontested
1997,Kreta Ayer - Tanglin,GRC,4,R Sinnakaruppan,PAP,People's Action Party,0,,1,won_uncontested
1997,MacPherson,SMC,1,Matthias Yao Chih,PAP,People's Action Party,12546,65.14,1,won
1997,MacPherson,SMC,1,Chee Soon Juan,SDP,Singapore Democratic Party,6713,34.86,2,lost
