year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
2001,West Coast,GRC,5,Fong Jen Arthur,PAP,People's Action Party,0,,1,won_uncontested
2001,West Coast,GRC,5,Foo Chee Keng Cedric,PAP,People's Action Party,0,,1,won_uncontested
2001,West Coast,GRC,5,Ho Geok Choo Madeleine,PAP,People's Action Party,0,,1,won_uncontested
2001,West Coast,GRC,5,Lim Hng Kiang,PAP,People's Action Party,0,,1,won_uncontested
2001,West Coast,GRC,5,S Iswaran,PAP,People's Action Party,0,,1,won_uncontested
2006,Aljunied,GRC,5,Lim Hwee Hua,PAP,People's Action Party,74843,56.09,1,won
2006,Aljunied,GRC,5,Cynthia Phua,PAP,People's Action Party,74843,56.09,1,won
2006,Aljunied,GRC,5,Yeo Guat Kwang,PAP,People's Action Party,74843,56.09,1,won
2006,Aljunied,GRC,5,George Yong-Boon Yeo,PAP,People's Action Party,74843,56.09,1,won
2006,Aljunied,GRC,5,Zainul Abidin Rasheed,PAP,People's Action Party,74843,56.09,1,won
2006,Aljunied,GRC,5,Goh Meng Seng,WP,Workers' Party,58593,43.91,2,lost
2006,Aljunied,GRC,5,James Gomez,WP,Workers' Party,58593,43.91,2,lost
2006,Aljunied,GRC,5,Lim Swee Lian Sylvia,WP,Workers' Party,58593,43.91,2,lost
