year,constituency,constituency_type,n_member,n_candidates,electors,votes_valid,majority,votes_rejected,ballots_spoiled,voter_turnout,majority_perc,votes_rejected_perc
2015,MacPherson,SMC,1,3,28511,26299,8418,416,21,93.7,32.01,1.56
2015,Marine Parade,GRC,5,2,146244,132891,37385,1682,47,92.02,28.13,1.25
2015,Marsiling-Yew Tee,GRC,4,2,107599,99731,37361,2137,22,94.67,37.46,2.1
2015,Mountbatten,SMC,1,2,24143,21335,9327,334,9,89.75,43.72,1.54
2015,Nee Soon,GRC,5,2,132289,123128,41446,1732,50,94.38,33.66,1.39
2015,Pasir Ris-Punggol,GRC,6,2,187396,171716,78616,5314,32,94.47,45.78,3.0
2015,Pioneer,SMC,1,2,25458,23598,12436,658,6,95.28,52.7,2.71
2015,Potong Pasir,SMC,1,2,17407,15970,5234,224,5,93.03,32.77,1.38
2015,Punggol East,SMC,1,2,34466,32795,1159,379,2,96.25,3.53,1.14
2015,Radin Mas,SMC,1,3,28906,26209,16913,769,9,93.33,64.53,2.85
2015,Sembawang,GRC,5,2,144672,133805,59631,3798,34,95.11,44.57,2.76
2015,Sengkang West,SMC,1,2,30119,28307,6865,417,7,95.37,24.25,1.45
2015,Tampines,GRC,5,2,143518,132248,58362,3643,33,94.69,44.13,2.68
2015,Tanjong Pagar,GRC,5,2,130752,116633,64637,2413,53,91.05,55.42,2.03
2015,West Coast,GRC,4,2,99300,90640,51788,2416,16,93.71,57.14,2.6
2015,Yuhua,SMC,1,2,22617,20836,9812,390,2,93.85,47.09,1.84
2020,Aljunied,GRC,5,2,150821,143145,28485,1582,103,95.96,19.9,1.09
2020,Ang Mo Kio,GRC,5,2,185261,173274,75920,5016,90,96.24,43.81,2.81
2020,Bishan-Toa Payoh,GRC,4,2,101220,93679,32287,2049,58,94.57,34.47,2.14
2020,Bukit Batok,SMC,1,2,29948,28287,2713,533,25,96.23,9.59,1.85
2020,Bukit Panjang,SMC,1,2,35437,33661,2509,586,32,96.64,7.45,1.71
2020,Chua Chu Kang,GRC,4,2,106632,101566,17542,1410,62,96.57,17.27,1.37
2020,East Coast,GRC,5,2,121644,114519,7769,1393,98,95.29,6.78,1.2
2020,Holland-Bukit Timah,GRC,4,2,114973,107318,35118,1999,136,95.08,32.72,1.83
2020,Hong Kah North,SMC,1,2,28046,26804,5890,403,14,97.01,21.97,1.48
2020,Hougang,SMC,1,2,26432,25242,5660,272,21,96.53,22.42,1.07
2020,Jalan Besar,GRC,4,2,107720,98892,30370,2948,77,94.54,30.71,2.89
2020,Jurong,GRC,5,2,131058,123106,60586,2519,63,95.85,49.21,2.01
2020,Kebun Baru,SMC,1,2,22623,21151,5467,387,21,95.2,25.85,1.8
2020,MacPherson,SMC,1,2,28513,26498,11520,625,25,95.13,43.47,2.3
2020,Marine Parade,GRC,5,2,139622,130250,20156,1789,108,94.57,15.47,1.35
2020,Marsiling-Yew Tee,GRC,4,2,117077,110503,29123,2097,96,96.18,26.35,1.86
2020,Marymount,SMC,1,2,23431,22116,2230,305,24,95.69,10.08,1.36
2020,Mountbatten,SMC,1,2,24246,22060,10510,589,17,93.41,47.64,2.6
2020,Nee Soon,GRC,5,2,146902,139439,33177,2200,80,96.42,23.79,1.55
2020,Pasir Ris-Punggol,GRC,5,3,166556,157316,63695,3395,78,96.49,40.49,2.11
2020,Pioneer,SMC,1,3,24653,23537,6304,350,36,96.89,26.78,1.47
2020,Potong Pasir,SMC,1,2,19731,18566,3962,279,19,95.51,21.34,1.48
2020,Punggol West,SMC,1,2,26587,25672,5638,217,26,97.37,21.96,0.84
2020,Radin Mas,SMC,1,2,24931,22786,10942,818,31,94.68,48.02,3.47
2020,Sembawang,GRC,5,2,147786,139954,48398,2948,37,96.7,34.58,2.06
